Settimana Totale_Medici Totale_Casi Totale_Assistiti Totale_Incidenza 0-4_anni_Casi 0-4_anni_Inc 5-14_anni_Casi 5-14_anni_Inc 15-64anni_Casi 15-64anni_Inc 65_anni_e_oltre_Casi 65_anni_e_oltre_Inc
2013-42 909 428 1176370 0.36 112 1.40 56 0.36 223 0.32 37 0.15
2013-43 940 565 1222506 0.46 132 1.61 91 0.57 290 0.40 52 0.20
2013-44 951 563 1236842 0.46 132 1.60 113 0.70 268 0.37 50 0.19
2013-45 1012 885 1323302 0.67 197 2.31 169 1.00 441 0.56 78 0.28
2013-46 1020 1025 1328309 0.77 202 2.36 179 1.05 548 0.69 96 0.34
2013-47 1030 1270 1339233 0.95 247 2.82 208 1.20 694 0.87 121 0.43
2013-48 1032 1649 1342072 1.23 329 3.75 278 1.60 881 1.11 161 0.56
2013-49 1036 1914 1346922 1.42 360 4.05 345 1.95 1049 1.32 160 0.56
2013-50 1026 2279 1335692 1.71 416 4.84 412 2.39 1255 1.58 196 0.69
2013-51 1001 2540 1301515 1.95 447 5.34 434 2.58 1404 1.82 255 0.92
2013-52 955 2770 1242917 2.23 465 5.76 444 2.76 1557 2.11 304 1.15
2014-01 998 3842 1299890 2.96 517 6.07 542 3.20 2311 3.01 472 1.71
2014-02 1042 5592 1356857 4.12 650 7.32 839 4.74 3477 4.33 626 2.18
2014-03 1035 6836 1354251 5.05 1136 12.97 1290 7.40 3831 4.77 579 2.01
2014-04 1037 7826 1352179 5.79 1544 17.33 1644 9.23 3983 5.00 655 2.28
2014-05 1031 8780 1340788 6.55 1765 19.83 1939 10.97 4457 5.63 619 2.18
2014-06 1022 8858 1328793 6.67 1675 18.98 2074 11.79 4446 5.68 663 2.35
2014-07 1007 8227 1312968 6.27 1498 17.58 1848 10.80 4222 5.43 659 2.36
2014-08 998 7174 1295133 5.54 1307 14.95 1584 9.10 3716 4.89 567 2.07
2014-09 987 6061 1282037 4.73 1078 12.35 1324 7.67 3163 4.21 496 1.84
2014-10 985 5061 1283535 3.94 863 10.12 1111 6.55 2672 3.53 415 1.53
2014-11 955 4201 1242618 3.38 723 8.93 899 5.50 2239 3.05 340 1.29
2014-12 959 3551 1232959 2.88 622 7.60 807 4.94 1796 2.47 326 1.25
2014-13 925 2494 1205979 2.07 422 5.40 511 3.25 1348 1.89 213 0.83
2014-14 902 1932 1177545 1.64 314 4.16 395 2.60 1056 1.52 167 0.66
2014-15 864 1388 1129183 1.23 210 2.93 244 1.69 792 1.18 142 0.59
2014-16 783 919 1023758 0.90 139 2.12 179 1.37 511 0.84 90 0.41
2014-17 805 575 1048930 0.55 89 1.38 82 0.64 331 0.53 73 0.32
