pagina,settimana,click
Vaccino_antinfluenzale,1,20
Vaccino_antinfluenzale,2,64
Vaccino_antinfluenzale,3,84
Vaccino_antinfluenzale,4,77
Vaccino_antinfluenzale,5,82
Vaccino_antinfluenzale,6,75
Vaccino_antinfluenzale,7,56
Vaccino_antinfluenzale,8,68
Vaccino_antinfluenzale,9,61
Vaccino_antinfluenzale,10,36
Vaccino_antinfluenzale,11,53
Vaccino_antinfluenzale,12,35
Vaccino_antinfluenzale,13,43
Vaccino_antinfluenzale,14,35
Vaccino_influenza_stagionale,1,2
Vaccino_influenza_stagionale,2,1
Vaccino_influenza_stagionale,3,3
Vaccino_influenza_stagionale,4,5
Vaccino_influenza_stagionale,5,5
Vaccino_influenza_stagionale,6,3
Vaccino_influenza_stagionale,7,2
Vaccino_influenza_stagionale,8,3
Vaccino_influenza_stagionale,9,3
Vaccino_influenza_stagionale,10,3
Vaccino_influenza_stagionale,11,8
Vaccino_influenza_stagionale,12,3
Vaccino_influenza_stagionale,13,1
Influenza,1,154
Influenza,2,513
Influenza,3,555
Influenza,4,586
Influenza,5,517
Influenza,6,617
Influenza,7,588
Influenza,8,607
Influenza,9,572
Influenza,10,542
Influenza,11,509
Influenza,12,548
Influenza,13,455
Influenza,14,280
Vaccino,1,175
Vaccino,2,608
Vaccino,3,809
Vaccino,4,791
Vaccino,5,747
Vaccino,6,850
Vaccino,7,913
Vaccino,8,864
Vaccino,9,805
Vaccino,10,645
Vaccino,11,648
Vaccino,12,651
Vaccino,13,532
Vaccino,14,389
Febbre,1,221
Febbre,2,855
Febbre,3,873
Febbre,4,869
Febbre,5,991
Febbre,6,1119
Febbre,7,1061
Febbre,8,1081
Febbre,9,1080
Febbre,10,974
Febbre,11,968
Febbre,12,965
Febbre,13,807
Febbre,14,485
Rinorrea,1,46
Rinorrea,2,151
Rinorrea,3,163
Rinorrea,4,137
Rinorrea,5,164
Rinorrea,6,183
Rinorrea,7,163
Rinorrea,8,157
Rinorrea,9,138
Rinorrea,10,128
Rinorrea,11,139
Rinorrea,12,142
Rinorrea,13,147
Rinorrea,14,89
Mialgia,1,68
Mialgia,2,264
Mialgia,3,313
Mialgia,4,296
Mialgia,5,316
Mialgia,6,287
Mialgia,7,335
Mialgia,8,367
Mialgia,9,323
Mialgia,10,340
Mialgia,11,295
Mialgia,12,284
Mialgia,13,260
Mialgia,14,190
Cefalea,1,153
Cefalea,2,448
Cefalea,3,502
Cefalea,4,557
Cefalea,5,625
Cefalea,6,627
Cefalea,7,633
Cefalea,8,622
Cefalea,9,577
Cefalea,10,569
Cefalea,11,579
Cefalea,12,524
Cefalea,13,464
Cefalea,14,282
Vomito,1,151
Vomito,2,362
Vomito,3,443
Vomito,4,400
Vomito,5,432
Vomito,6,415
Vomito,7,388
Vomito,8,402
Vomito,9,369
Vomito,10,319
Vomito,11,374
Vomito,12,370
Vomito,13,326
Vomito,14,194
Paracetamolo,1,455
Paracetamolo,2,1589
Paracetamolo,3,1599
Paracetamolo,4,1526
Paracetamolo,5,1684
Paracetamolo,6,1687
Paracetamolo,7,1795
Paracetamolo,8,1649
Paracetamolo,9,1693
Paracetamolo,10,1537
Paracetamolo,11,1481
Paracetamolo,12,1458
Paracetamolo,13,1222
Paracetamolo,14,711
Vaccino_influenza_stagionale,14,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,1,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,2,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,3,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,4,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,5,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,6,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,7,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,8,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,9,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,10,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,11,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,12,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,13,0
Vaccino_antinfluenzale#Vaccino_influenza_stagionale,14,0
