pagina,settimana,click
Bronchite,1,162
Bronchite,2,650
Bronchite,3,619
Bronchite,4,635
Bronchite,5,624
Bronchite,6,653
Bronchite,7,687
Bronchite,8,640
Bronchite,9,592
Bronchite,10,538
Bronchite,11,520
Bronchite,12,438
Bronchite,13,451
Bronchite,14,326
Broncopneumopatia_cronica_ostruttiva,1,255
Broncopneumopatia_cronica_ostruttiva,2,808
Broncopneumopatia_cronica_ostruttiva,3,948
Broncopneumopatia_cronica_ostruttiva,4,964
Broncopneumopatia_cronica_ostruttiva,5,921
Broncopneumopatia_cronica_ostruttiva,6,975
Broncopneumopatia_cronica_ostruttiva,7,976
Broncopneumopatia_cronica_ostruttiva,8,880
Broncopneumopatia_cronica_ostruttiva,9,934
Broncopneumopatia_cronica_ostruttiva,10,937
Broncopneumopatia_cronica_ostruttiva,11,832
Broncopneumopatia_cronica_ostruttiva,12,778
Broncopneumopatia_cronica_ostruttiva,13,666
Broncopneumopatia_cronica_ostruttiva,14,379
SARS,1,66
SARS,2,203
SARS,3,215
SARS,4,194
SARS,5,220
SARS,6,278
SARS,7,311
SARS,8,319
SARS,9,190
SARS,10,203
SARS,11,184
SARS,12,191
SARS,13,139
SARS,14,106
Asma,1,152
Asma,2,650
Asma,3,683
Asma,4,703
Asma,5,770
Asma,6,744
Asma,7,722
Asma,8,777
Asma,9,671
Asma,10,626
Asma,11,638
Asma,12,591
Asma,13,543
Asma,14,364
Faringite_streptococcica,1,52
Faringite_streptococcica,2,229
Faringite_streptococcica,3,241
Faringite_streptococcica,4,225
Faringite_streptococcica,5,284
Faringite_streptococcica,6,296
Faringite_streptococcica,7,313
Faringite_streptococcica,8,298
Faringite_streptococcica,9,307
Faringite_streptococcica,10,304
Faringite_streptococcica,11,296
Faringite_streptococcica,12,310
Faringite_streptococcica,13,297
Faringite_streptococcica,14,153
Rinite,1,117
Rinite,2,352
Rinite,3,383
Rinite,4,383
Rinite,5,351
Rinite,6,396
Rinite,7,394
Rinite,8,452
Rinite,9,358
Rinite,10,358
Rinite,11,349
Rinite,12,318
Rinite,13,302
Rinite,14,187
Croup,1,34
Croup,2,110
Croup,3,110
Croup,4,129
Croup,5,102
Croup,6,143
Croup,7,129
Croup,8,128
Croup,9,111
Croup,10,119
Croup,11,104
Croup,12,127
Croup,13,79
Croup,14,55
Influenzavirus_C,1,4
Influenzavirus_C,2,3
Influenzavirus_C,3,7
Influenzavirus_C,4,12
Influenzavirus_C,5,14
Influenzavirus_C,6,11
Influenzavirus_C,7,7
Influenzavirus_C,8,7
Influenzavirus_C,9,5
Influenzavirus_C,10,7
Influenzavirus_C,11,8
Influenzavirus_C,12,9
Influenzavirus_C,13,10
Influenzavirus_C,14,7
Influenza,1,154
Influenza,2,513
Influenza,3,555
Influenza,4,586
Influenza,5,517
Influenza,6,617
Influenza,7,588
Influenza,8,607
Influenza,9,572
Influenza,10,542
Influenza,11,509
Influenza,12,548
Influenza,13,455
Influenza,14,280
